0.001 2.98327e-07
0.0015 5.58256e-07
0.002 9.85786e-07
0.0025 1.49098e-06
0.003125 2.2754e-06
0.004 3.73631e-06
0.005 5.26775e-06
0.006 7.62628e-06
0.007 9.91708e-06
0.008 1.2412e-05
0.009 1.58647e-05
0.010375 2.02634e-05
0.0125 2.77038e-05
0.015 3.68525e-05
0.0175 4.58028e-05
0.02 4.24552e-05
0.0225 4.90821e-05
0.025 5.28921e-05
0.0275 7.05725e-05
0.030625 7.56946e-05
0.035 8.7706e-05
0.04 0.000111881
0.045 0.000119315
0.05 0.000134207
0.055 0.000163627
0.06 0.000203832
0.065 0.000216831
0.07 0.000229801
0.075 0.000227227
0.08 0.00024547
0.085 0.000246095
0.09 0.000256138
0.095 0.000258232
0.105 0.000279157
0.125 0.000304252
0.15 0.000348967
0.175 0.000407058
0.2 0.000481819
0.225 0.000570968
0.25 0.000643197
0.275 0.000698049
0.30625 0.000789617
0.35 0.000960654
0.4 0.00115551
0.45 0.00133226
0.5 0.00156001
0.55 0.0017964
0.6 0.00201251
0.65 0.00227319
0.7 0.00254342
0.75 0.0027936
0.8 0.00307966
0.85 0.00338174
0.9 0.00367128
0.95 0.00397566
1.05 0.00464108
1.25 0.00604846
1.5 0.00804381
1.75 0.010243
2 0.0126524
2.25 0.0152986
2.5 0.0181301
2.75 0.0211877
3.0625 0.0253363
3.5 0.0316718
4 0.0395885
4.5 0.0482338
5 0.0575904
5.5 0.0676489
6 0.0784146
6.5 0.0898687
7 0.102043
7.5 0.114739
8 0.128171
8.5 0.142222
9 0.15696
9.5 0.172284
10.5 0.204879
12.5 0.277109
15 0.380768
17.5 0.500145
20.625 0.665999
24.375 0.890956
27.5 1.10315
30.625 1.33238
35 1.68146
40 2.12654
45 2.61616
50 3.142
55 3.70378
60 4.31464
65 4.9604
70 5.64103
75 6.33589
80 7.08629
85 7.85221
90 8.65821
95 9.50652
105 11.124
125 14.5492
150 19.5317
175 25.0315
200 29.9673
225 38.9844
250 41.789
275 42.1418
306.25 30.7027
400 0.758381
